Running serialdump without rlwrap support.
Consider installing rlwarp in order to be able to use command history
../../../tools/serial-io/serialdump -b115200 -T /dev/ttyUSB0
[2021-05-26 12:31:47] [INFO: Main      ] Starting Contiki-NG-d6f9e5e
[2021-05-26 12:31:47] [INFO: Main      ] - Routing: nullrouting
[2021-05-26 12:31:47] [INFO: Main      ] - Net: nullnet
[2021-05-26 12:31:47] [INFO: Main      ] - MAC: CSMA
[2021-05-26 12:31:47] [INFO: Main      ] - 802.15.4 PANID: 0xabcd
[2021-05-26 12:31:47] [INFO: Main      ] - 802.15.4 Default channel: 13
[2021-05-26 12:31:47] [INFO: Main      ] Node ID: 58764
[2021-05-26 12:31:47] [INFO: Main      ] Link-layer address: 0012.4b00.1932.e58c
[2021-05-26 12:31:47] [INFO: Zoul      ] Zolertia Firefly platform
[2021-05-26 12:31:47] e484,1,62,125,507388,124,2095641,2062432,28934,29856
[2021-05-26 12:31:47] e484,2,63,126,29420,7,2096876,2093987,29940,30418
[2021-05-26 12:31:47] e692,3,2042,570,318004,128,18707167,18673878,30768,31253
[2021-05-26 12:31:47] e484,4,63,127,494544,121,2128388,2093987,41204,41683
[2021-05-26 12:31:47] e692,5,2042,571,317868,128,18739935,18705622,51760,52238
[2021-05-26 12:31:47] e484,6,64,128,28724,7,2130180,2123616,56582,57061
[2021-05-26 12:31:47] e692,7,2042,572,318228,128,18772703,18739414,83636,84114
[2021-05-26 12:31:47] e484,8,64,129,480688,117,2160582,2129248,86516,86995
[2021-05-26 12:31:47] e484,9,65,130,45112,11,2162412,2156128,106996,107474
[2021-05-26 12:31:47] e692,10,2042,573,318528,128,18805473,18770390,116405,116884
[2021-05-26 12:31:47] e484,11,65,131,491196,120,2193419,2161760,147188,147667
[2021-05-26 12:31:47] e692,12,2042,574,317380,128,18838239,18805462,149807,150286
[2021-05-26 12:31:47] e484,13,66,132,32388,8,2195716,2188640,175091,175570
[2021-05-26 12:31:48] e692,14,2042,575,318272,128,18871008,18837736,181939,182418
[2021-05-26 12:31:48] e484,15,66,133,494576,121,2225907,2194016,199411,199890
[2021-05-26 12:31:49] e484,16,67,134,28088,7,2227948,2225509,213747,214225
[2021-05-26 12:31:49] e692,17,2042,576,319088,128,18903776,18869462,214821,215299
[2021-05-26 12:31:49] e484,18,67,135,490108,121,2258675,2228064,234227,234706
[2021-05-26 12:31:50] e484,19,68,136,28484,7,2260716,2255968,248563,249041
[2021-05-26 12:31:50] e692,20,2042,577,318268,128,18936544,18903510,251950,252429
[2021-05-26 12:31:50] e484,21,68,137,490416,121,2291443,2255968,273908,274386
[2021-05-26 12:31:51] e692,22,2042,578,317920,128,18969312,18935511,280623,281102
[2021-05-26 12:31:51] e484,23,69,139,486348,121,2324996,2291045,288517,288996
[2021-05-26 12:31:51] e484,24,70,141,496236,122,2356979,2323552,303859,304337
[2021-05-26 12:31:52] e692,25,2042,579,314196,126,19002108,18968041,313391,313870
[2021-05-26 12:31:52] e484,26,71,142,24560,6,2359301,2356837,319219,319698
[2021-05-26 12:31:52] e484,27,71,143,495688,122,2389747,2356837,339443,339921
[2021-05-26 12:31:53] e692,28,2042,580,323512,130,19034848,18997719,347183,347662
[2021-05-26 12:31:53] e484,29,72,145,492856,121,2422515,2389856,357875,358354
[2021-05-26 12:31:53] e484,30,73,146,28008,7,2424556,2422117,370949,371427
[2021-05-26 12:31:54] e692,31,2042,581,318624,128,19067616,19034327,379182,379661
[2021-05-26 12:31:54] e484,32,73,147,483792,119,2455328,2422117,388083,388562
[2021-05-26 12:31:54] e484,33,74,148,36988,9,2457324,2445664,404741,405219
[2021-05-26 12:31:55] e484,34,74,149,492392,121,2488836,2445664,418547,419025
[2021-05-26 12:31:55] e692,35,2042,582,319140,128,19100384,19065559,421422,421901
[2021-05-26 12:31:55] e484,36,75,150,28640,7,2490628,2486112,432883,433362
[2021-05-26 12:31:56] e692,37,2042,583,318840,128,19133152,19098856,444974,445453
[2021-05-26 12:31:56] e484,38,75,151,489764,121,2521355,2489696,455923,456402
[2021-05-26 12:31:56] e484,39,76,152,28932,7,2522860,2519904,471795,472273
[2021-05-26 12:31:57] e692,40,2042,584,318576,128,19165920,19131351,477486,477965
[2021-05-26 12:31:57] e484,41,76,153,493900,121,2553587,2519904,492275,492754
[2021-05-26 12:31:58] e692,42,2042,585,313824,126,19198716,19165656,511022,511500
[2021-05-26 12:31:58] e484,43,77,154,28000,7,2555628,2545765,511731,512210
[2021-05-26 12:31:58] e484,44,77,155,491492,121,2587140,2555744,524200,524678
[2021-05-26 12:31:58] e484,45,78,156,28524,7,2588396,2584672,539378,539856
[2021-05-26 12:31:59] e692,46,2042,586,323684,130,19231459,19191512,542388,542867
[2021-05-26 12:31:59] e484,47,78,157,486300,120,2619403,2584672,559091,559569
[2021-05-26 12:32:00] e484,48,79,158,32380,8,2621164,2614880,573701,574179
[2021-05-26 12:32:00] e692,49,2042,587,318904,128,19264225,19231448,579373,579852
[2021-05-26 12:32:00] e484,50,79,159,489536,121,2652677,2621024,590066,590545
[2021-05-26 12:32:01] e484,51,80,160,28508,7,2653932,2642533,605426,605904
[2021-05-26 12:32:01] e692,52,2042,588,318348,128,19296993,19263466,610093,610572
[2021-05-26 12:32:01] e484,53,80,161,491304,121,2685445,2654048,630276,630755
[2021-05-26 12:32:02] e692,54,2042,589,318764,128,19329761,19296472,640804,641283
[2021-05-26 12:32:02] e484,55,81,162,29096,7,2686700,2684011,659186,659665
[2021-05-26 12:32:03] e692,56,2042,590,317844,128,19362531,19329240,674094,674573
[2021-05-26 12:32:03] e484,57,81,163,488496,121,2717426,2684011,675826,676305
[2021-05-26 12:32:03] e484,58,82,165,495712,122,2750194,2718815,688826,689304
[2021-05-26 12:32:04] e484,59,83,166,28420,7,2752236,2750047,697330,697808
[2021-05-26 12:32:04] e692,60,2042,591,318492,128,19395297,19362520,707117,707596
[2021-05-26 12:32:04] e484,61,83,167,486484,121,2782962,2750047,718578,719057
[2021-05-26 12:32:04] e692,62,2042,592,318764,128,19428065,19394008,739885,740364
[2021-05-26 12:32:05] e484,63,84,168,27824,7,2785540,2783071,751858,752337
[2021-05-26 12:32:05] e484,64,84,169,489556,121,2815730,2783071,769522,770000
[2021-05-26 12:32:06] e692,65,2042,593,318868,128,19460833,19424216,772653,773132
[2021-05-26 12:32:06] e484,66,85,171,490488,121,2849820,2815584,791538,792016
[2021-05-26 12:32:07] e692,67,2042,594,318796,128,19493601,19459288,805677,806156
[2021-05-26 12:32:07] e484,68,86,172,28904,7,2850540,2815584,820210,820689
[2021-05-26 12:32:08] e484,69,86,173,490240,121,2881984,2815584,837617,838095
[2021-05-26 12:32:08] e692,70,2042,595,318580,128,19526369,19493336,838445,838924
[2021-05-26 12:32:08] e484,71,87,174,28372,7,2883308,2880352,854531,855010
[2021-05-26 12:32:09] e484,72,87,175,485792,121,2914034,2882150,866801,867279
[2021-05-26 12:32:09] e692,73,2042,596,319060,128,19559138,19525080,870700,871179
[2021-05-26 12:32:09] e484,74,88,176,28120,7,2916076,2913376,886769,887248
[2021-05-26 12:32:10] e484,75,88,177,490212,121,2946802,2915429,898544,899022
[2021-05-26 12:32:10] e692,76,2042,597,318496,128,19591911,19557849,907564,908043
[2021-05-26 12:32:10] e484,77,89,179,501940,125,2979570,2946912,927984,928463
[2021-05-26 12:32:11] e692,78,2042,598,318900,128,19624674,19591896,935980,936459
[2021-05-26 12:32:11] e484,79,90,180,27780,7,2981612,2979168,946928,947407
[2021-05-26 12:32:11] e484,80,90,181,488380,121,3012338,2979168,966896,967374
[2021-05-26 12:32:12] e692,81,2042,599,318036,128,19657442,19624152,970028,970507
[2021-05-26 12:32:12] e484,82,91,183,487932,121,3045892,3009125,993264,993743
[2021-05-26 12:32:13] e692,83,2042,600,318360,128,19690210,19656664,1001251,1001729
[2021-05-26 12:32:13] e484,84,92,184,24416,6,3047428,3043167,1021680,1022159
[2021-05-26 12:32:14] e484,85,92,185,493964,122,3077874,3043167,1037296,1037774
