2021-05-26 11:45:21 e5e4,127,87226,4096587,10395,4162876,4192875
2021-05-26 11:45:21,e5e4,128,87747,4128834,10477,4195562,4225643
2021-05-26 11:45:22,e5e4,129,88283,4161066,10558,4228249,4258411
2021-05-26 11:45:23,e5e4,130,88878,4193239,10639,4260936,4291179
2021-05-26 11:45:24,e5e4,131,89541,4225344,10834,4293509,4323947
2021-05-26 11:45:25,e5e4,5,24008,162107,0,175573,194795
2021-05-26 11:45:32,e5e4,6,24529,194353,82,208258,227563
2021-05-26 11:45:33,e5e4,7,25195,226455,278,240830,260331
2021-05-26 11:45:34,e5e4,8,25857,258561,440,273436,293099
2021-05-26 11:45:35,e5e4,9,26527,290659,602,306043,325867
2021-05-26 11:45:36,e5e4,10,27354,322600,803,338610,358635
2021-05-26 11:45:37,e5e4,11,28022,354700,977,371203,391403
2021-05-26 11:45:38,e5e4,12,28772,386718,1151,403797,424171
2021-05-26 11:45:39,e5e4,13,29298,418960,1233,436483,456939
2021-05-26 11:45:40,e5e4,14,29821,451205,1314,469170,489707
2021-05-26 11:45:41,e5e4,15,30556,483238,1510,501743,522475
2021-05-26 11:45:42,e5e4,16,31176,515387,1591,534430,555243
2021-05-26 11:45:43,e5e4,17,31731,547599,1672,567117,588011
2021-05-26 11:45:44,e5e4,18,32274,579825,1753,599804,620779
2021-05-26 11:45:45,e5e4,19,32875,611991,1834,632491,653547
2021-05-26 11:45:46,e5e4,20,33443,644192,1915,665178,686315
2021-05-26 11:45:47,e5e4,21,34123,676279,2088,697773,719083
2021-05-26 11:45:48,e5e4,22,34661,708509,2169,730460,751851
2021-05-26 11:45:49,e5e4,23,35195,740743,2250,763147,784619
2021-05-26 11:45:50,e5e4,24,35732,772974,2331,795834,817387
2021-05-26 11:45:51,e5e4,25,36150,805324,2412,828521,850155
2021-05-26 11:45:52,e5e4,26,36557,837686,2493,861208,882923
2021-05-26 11:45:53,e5e4,27,36966,870045,2574,893895,915691
2021-05-26 11:45:54,e5e4,28,37378,902401,2655,926582,948459
2021-05-26 11:45:55,e5e4,29,37954,934593,2817,959188,981227
2021-05-26 11:45:56,e5e4,30,38416,966899,2898,991875,1013996
2021-05-26 11:45:57,e5e4,31,38894,999189,2979,1024562,1046764
2021-05-26 11:45:58,e5e4,32,39556,1031295,3175,1057134,1079532
2021-05-26 11:45:59,e5e4,33,40081,1063538,3257,1089820,1112300
2021-05-26 11:46:00,e5e4,34,40771,1095616,3431,1122414,1145068
2021-05-26 11:46:01,e5e4,35,41304,1127851,3513,1155100,1177836
2021-05-26 11:46:02,e5e4,36,41830,1160093,3594,1187787,1210604
2021-05-26 11:46:03,e5e4,37,42356,1192335,3675,1220474,1243372
2021-05-26 11:46:04,e5e4,38,42878,1224581,3756,1253161,1276140
2021-05-26 11:46:05,e5e4,39,43404,1256823,3837,1285848,1308908
2021-05-26 11:46:06,e5e4,40,43961,1289034,3918,1318535,1341676
2021-05-26 11:46:07,e5e4,41,44484,1321279,3999,1351222,1374444
2021-05-26 11:46:08,e5e4,42,45011,1353520,4080,1383909,1407212
2021-05-26 11:46:09,e5e4,43,45536,1385763,4162,1416595,1439980
2021-05-26 11:46:10,e5e4,44,46059,1418008,4243,1449282,1472748
2021-05-26 11:46:11,e5e4,45,46586,1450249,4324,1481969,1505516
2021-05-26 11:46:12,e5e4,46,47111,1482492,4405,1514656,1538284
2021-05-26 11:46:13,e5e4,47,47634,1514737,4486,1547343,1571052
2021-05-26 11:46:14,e5e4,48,48161,1546978,4567,1580030,1603820
2021-05-26 11:46:15,e5e4,49,48687,1579220,4648,1612717,1636588
2021-05-26 11:46:16,e5e4,50,49241,1611434,4729,1645404,1669356
2021-05-26 11:46:17,e5e4,51,49817,1643626,4810,1678092,1702124
2021-05-26 11:46:18,e5e4,52,50355,1675856,4891,1710778,1734892
2021-05-26 11:46:19,e5e4,53,50889,1708090,4972,1743466,1767660
2021-05-26 11:46:20,e5e4,54,51426,1740321,5053,1776153,1800428
2021-05-26 11:46:21,e5e4,55,52244,1772271,5342,1808632,1833196
2021-05-26 11:46:22,e5e4,56,52769,1804514,5423,1841318,1865964
2021-05-26 11:46:23,e5e4,57,53298,1836753,5504,1874005,1898732
2021-05-26 11:46:24,e5e4,58,53870,1868949,5585,1906692,1931500
2021-05-26 11:46:25,e5e4,59,54417,1901170,5666,1939380,1964268
2021-05-26 11:46:26,e5e4,60,55147,1933208,5840,1971974,1997036
2021-05-26 11:46:27,e5e4,61,55685,1965438,5921,2004661,2029804
2021-05-26 11:46:28,e5e4,62,56219,1997672,6002,2037348,2062572
2021-05-26 11:46:29,e5e4,63,56882,2029777,6164,2069954,2095340
2021-05-26 11:46:30,e5e4,64,57420,2062007,6245,2102641,2128108
2021-05-26 11:46:31,e5e4,65,57921,2094274,6326,2135328,2160876
2021-05-26 11:46:32,e5e4,66,58330,2126633,6407,2168015,2193644
2021-05-26 11:46:33,e5e4,67,58746,2158986,6488,2200702,2226412
2021-05-26 11:46:34,e5e4,68,59155,2191345,6569,2233389,2259180
2021-05-26 11:46:35,e5e4,69,59564,2223704,6650,2266076,2291948
2021-05-26 11:46:36,e5e4,70,60006,2256030,6731,2298763,2324717
2021-05-26 11:46:37,e5e4,71,60414,2288390,6812,2331450,2357484
2021-05-26 11:46:38,e5e4,72,61060,2320512,6975,2364055,2390253
2021-05-26 11:46:39,e5e4,73,61584,2352756,7056,2396742,2423021
2021-05-26 11:46:40,e5e4,74,62105,2385003,7137,2429429,2455789
2021-05-26 11:46:41,e5e4,75,62630,2417246,7218,2462116,2488557
2021-05-26 11:46:42,e5e4,76,63155,2449489,7300,2494802,2521325
2021-05-26 11:46:43,e5e4,77,63677,2481735,7382,2527488,2554093
2021-05-26 11:46:44,e5e4,78,64203,2513977,7463,2560175,2586861
2021-05-26 11:46:45,e5e4,79,64729,2546219,7544,2592862,2619629
2021-05-26 11:46:46,e5e4,80,65282,2578434,7625,2625549,2652397
2021-05-26 11:46:47,e5e4,81,65808,2610676,7706,2658236,2685165
2021-05-26 11:46:48,e5e4,82,66334,2642918,7787,2690923,2717933
2021-05-26 11:46:49,e5e4,83,66857,2675163,7868,2723610,2750701
2021-05-26 11:46:50,e5e4,84,67384,2707404,7949,2756297,2783469
2021-05-26 11:46:51,e5e4,85,67911,2739645,8030,2788984,2816237
2021-05-26 11:46:52,e5e4,86,68433,2771891,8111,2821671,2849005
2021-05-26 11:46:53,e5e4,87,68960,2804132,8192,2854358,2881773
2021-05-26 11:46:54,e5e4,88,69486,2836374,8273,2887045,2914541
2021-05-26 11:46:55,e5e4,89,70009,2868619,8354,2919732,2947309
2021-05-26 11:46:56,e5e4,90,70566,2900830,8435,2952419,2980077
2021-05-26 11:46:57,e5e4,91,71092,2933072,8516,2985106,3012845
2021-05-26 11:46:58,e5e4,92,71615,2965317,8597,3017793,3045613
2021-05-26 11:46:59,e5e4,93,72142,2997558,8678,3050480,3078381
2021-05-26 11:47:00,e5e4,94,72869,3029599,8879,3083047,3111149
2021-05-26 11:47:01,e5e4,95,73392,3061844,8960,3115734,3143917
2021-05-26 11:47:02,e5e4,96,73920,3094084,9041,3148421,3176685
2021-05-26 11:47:03,e5e4,97,74449,3126323,9122,3181108,3209453
2021-05-26 11:47:04,e5e4,98,74975,3158565,9203,3213795,3242221
2021-05-26 11:47:05,e5e4,99,75515,3190793,9284,3246482,3274989
2021-05-26 11:47:06,e5e4,100,76080,3222996,9365,3279170,3307757
2021-05-26 11:47:07,e5e4,101,76616,3255228,9446,3311857,3340525
2021-05-26 11:47:08,e5e4,102,77153,3287459,9527,3344544,3373293
2021-05-26 11:47:09,e5e4,103,77691,3319689,9608,3377231,3406061
2021-05-26 11:47:10,e5e4,104,78225,3351923,9689,3409918,3438829
2021-05-26 11:47:11,e5e4,105,78762,3384154,9770,3442605,3471597
2021-05-26 11:47:12,e5e4,106,79218,3416466,9851,3475292,3504365
2021-05-26 11:47:13,e5e4,107,79625,3448828,9932,3507979,3537133
2021-05-26 11:47:14,e5e4,108,80034,3481187,10013,3540666,3569901
2021-05-26 11:47:15,e5e4,109,80509,3513480,10094,3573353,3602669
2021-05-26 11:47:16,e5e4,110,80947,3545810,10175,3606040,3635438
2021-05-26 11:47:17,e5e4,111,81636,3577889,10452,3638531,3668206
2021-05-26 11:47:18,e5e4,112,82082,3610211,10533,3671218,3700973
2021-05-26 11:47:19,e5e4,113,82604,3642457,10614,3703905,3733742
2021-05-26 11:47:20,e5e4,114,83172,3674657,10695,3736592,3766510
2021-05-26 11:47:21,e5e4,115,83698,3706899,10776,3769279,3799278
2021-05-26 11:47:22,e5e4,116,84363,3739002,10949,3801874,3832046
2021-05-26 11:47:23,e5e4,117,84889,3771244,11030,3834561,3864814
2021-05-26 11:47:24,e5e4,118,85415,3803486,11111,3867248,3897582
2021-05-26 11:47:25,e5e4,119,85948,3835721,11193,3899934,3930350
2021-05-26 11:47:26,e5e4,120,86505,3867932,11274,3932621,3963118
2021-05-26 11:47:27,e5e4,121,87030,3900175,11355,3965308,3995886
2021-05-26 11:47:28,e5e4,122,87553,3932420,11436,3997995,4028654
2021-05-26 11:47:29,e5e4,123,88080,3964661,11517,4030682,4061422
2021-05-26 11:47:30,e5e4,124,88606,3996903,11598,4063369,4094190
2021-05-26 11:47:31,e5e4,125,89129,4029148,11679,4096056,4126958
2021-05-26 11:47:32,e5e4,126,89656,4061389,11760,4128743,4159726
2021-05-26 11:47:33,e5e4,127,90182,4093631,11841,4161430,4192494
2021-05-26 11:47:34,e5e4,128,90716,4125865,11922,4194117,4225262
2021-05-26 11:47:35,e5e4,129,91243,4158106,12003,4226804,4258030
2021-05-26 11:47:36,e5e4,130,91800,4190317,12084,4259491,4290798
2021-05-26 11:47:37,e5e4,131,92323,4222562,12165,4292178,4323566
2021-05-26 11:47:38,e5e4,132,92854,4254799,12246,4324865,4356334
2021-05-26 11:47:39,e5e4,133,93380,4287041,12327,4357552,4389102
2021-05-26 11:47:40,e5e4,134,93903,4319286,12408,4390239,4421870
2021-05-26 11:47:41,e5e4,135,94429,4351528,12489,4422926,4454638
2021-05-26 11:47:42,e5e4,136,94967,4383758,12570,4455613,4487406
2021-05-26 11:47:43,e5e4,137,95490,4416003,12651,4488300,4520174
2021-05-26 11:47:44,e5e4,138,96145,4448116,12813,4520906,4552942
2021-05-26 11:47:45,e5e4,139,96674,4480355,12894,4553593,4585710
2021-05-26 11:47:46,e5e4,140,97232,4512565,12975,4586281,4618478
2021-05-26 11:47:47,e5e4,141,97765,4544800,13056,4618968,4651246
2021-05-26 11:47:48,e5e4,142,98303,4577030,13137,4651655,4684014
2021-05-26 11:47:49,e5e4,143,98837,4609264,13218,4684342,4716782
